session_id,view_id,target_count,targets,target_00_path,target_01_path,target_02_path,complete_00_01_02,teacher_D01,teacher_D12,teacher_D02
auto_capture_20260701_165437,24,3,00;01;02,auto_capture_20260701_165437/images/view_0024_target_00.tif,auto_capture_20260701_165437/images/view_0024_target_01.tif,auto_capture_20260701_165437/images/view_0024_target_02.tif,True,True,True,True
auto_capture_20260701_165437,25,3,00;01;02,auto_capture_20260701_165437/images/view_0025_target_00.tif,auto_capture_20260701_165437/images/view_0025_target_01.tif,auto_capture_20260701_165437/images/view_0025_target_02.tif,True,True,True,True
auto_capture_20260701_165437,26,3,00;01;02,auto_capture_20260701_165437/images/view_0026_target_00.tif,auto_capture_20260701_165437/images/view_0026_target_01.tif,auto_capture_20260701_165437/images/view_0026_target_02.tif,True,True,True,True
auto_capture_20260701_165437,27,3,00;01;02,auto_capture_20260701_165437/images/view_0027_target_00.tif,auto_capture_20260701_165437/images/view_0027_target_01.tif,auto_capture_20260701_165437/images/view_0027_target_02.tif,True,True,True,True
auto_capture_20260701_165437,28,3,00;01;02,auto_capture_20260701_165437/images/view_0028_target_00.tif,auto_capture_20260701_165437/images/view_0028_target_01.tif,auto_capture_20260701_165437/images/view_0028_target_02.tif,True,True,True,True
auto_capture_20260701_165437,29,3,00;01;02,auto_capture_20260701_165437/images/view_0029_target_00.tif,auto_capture_20260701_165437/images/view_0029_target_01.tif,auto_capture_20260701_165437/images/view_0029_target_02.tif,True,True,True,True
auto_capture_20260701_165437,30,3,00;01;02,auto_capture_20260701_165437/images/view_0030_target_00.tif,auto_capture_20260701_165437/images/view_0030_target_01.tif,auto_capture_20260701_165437/images/view_0030_target_02.tif,True,True,True,True
auto_capture_20260701_165437,31,3,00;01;02,auto_capture_20260701_165437/images/view_0031_target_00.tif,auto_capture_20260701_165437/images/view_0031_target_01.tif,auto_capture_20260701_165437/images/view_0031_target_02.tif,True,True,True,True
auto_capture_20260701_165437,32,3,00;01;02,auto_capture_20260701_165437/images/view_0032_target_00.tif,auto_capture_20260701_165437/images/view_0032_target_01.tif,auto_capture_20260701_165437/images/view_0032_target_02.tif,True,True,True,True
auto_capture_20260701_165437,33,3,00;01;02,auto_capture_20260701_165437/images/view_0033_target_00.tif,auto_capture_20260701_165437/images/view_0033_target_01.tif,auto_capture_20260701_165437/images/view_0033_target_02.tif,True,True,True,True
auto_capture_20260701_165437,34,3,00;01;02,auto_capture_20260701_165437/images/view_0034_target_00.tif,auto_capture_20260701_165437/images/view_0034_target_01.tif,auto_capture_20260701_165437/images/view_0034_target_02.tif,True,True,True,True
auto_capture_20260701_165437,35,3,00;01;02,auto_capture_20260701_165437/images/view_0035_target_00.tif,auto_capture_20260701_165437/images/view_0035_target_01.tif,auto_capture_20260701_165437/images/view_0035_target_02.tif,True,True,True,True
auto_capture_20260701_165437,36,3,00;01;02,auto_capture_20260701_165437/images/view_0036_target_00.tif,auto_capture_20260701_165437/images/view_0036_target_01.tif,auto_capture_20260701_165437/images/view_0036_target_02.tif,True,True,True,True
auto_capture_20260701_165437,37,3,00;01;02,auto_capture_20260701_165437/images/view_0037_target_00.tif,auto_capture_20260701_165437/images/view_0037_target_01.tif,auto_capture_20260701_165437/images/view_0037_target_02.tif,True,True,True,True
auto_capture_20260701_165437,38,3,00;01;02,auto_capture_20260701_165437/images/view_0038_target_00.tif,auto_capture_20260701_165437/images/view_0038_target_01.tif,auto_capture_20260701_165437/images/view_0038_target_02.tif,True,True,True,True
auto_capture_20260701_165437,39,3,00;01;02,auto_capture_20260701_165437/images/view_0039_target_00.tif,auto_capture_20260701_165437/images/view_0039_target_01.tif,auto_capture_20260701_165437/images/view_0039_target_02.tif,True,True,True,True
auto_capture_20260701_165437,40,3,00;01;02,auto_capture_20260701_165437/images/view_0040_target_00.tif,auto_capture_20260701_165437/images/view_0040_target_01.tif,auto_capture_20260701_165437/images/view_0040_target_02.tif,True,True,True,True
auto_capture_20260701_165437,41,3,00;01;02,auto_capture_20260701_165437/images/view_0041_target_00.tif,auto_capture_20260701_165437/images/view_0041_target_01.tif,auto_capture_20260701_165437/images/view_0041_target_02.tif,True,True,True,True
auto_capture_20260701_165437,42,3,00;01;02,auto_capture_20260701_165437/images/view_0042_target_00.tif,auto_capture_20260701_165437/images/view_0042_target_01.tif,auto_capture_20260701_165437/images/view_0042_target_02.tif,True,True,True,True
auto_capture_20260701_165437,43,3,00;01;02,auto_capture_20260701_165437/images/view_0043_target_00.tif,auto_capture_20260701_165437/images/view_0043_target_01.tif,auto_capture_20260701_165437/images/view_0043_target_02.tif,True,True,True,True
auto_capture_20260701_165437,44,3,00;01;02,auto_capture_20260701_165437/images/view_0044_target_00.tif,auto_capture_20260701_165437/images/view_0044_target_01.tif,auto_capture_20260701_165437/images/view_0044_target_02.tif,True,True,True,True
auto_capture_20260701_165437,45,3,00;01;02,auto_capture_20260701_165437/images/view_0045_target_00.tif,auto_capture_20260701_165437/images/view_0045_target_01.tif,auto_capture_20260701_165437/images/view_0045_target_02.tif,True,True,True,True
auto_capture_20260701_165437,46,3,00;01;02,auto_capture_20260701_165437/images/view_0046_target_00.tif,auto_capture_20260701_165437/images/view_0046_target_01.tif,auto_capture_20260701_165437/images/view_0046_target_02.tif,True,True,True,True
auto_capture_20260701_165437,47,3,00;01;02,auto_capture_20260701_165437/images/view_0047_target_00.tif,auto_capture_20260701_165437/images/view_0047_target_01.tif,auto_capture_20260701_165437/images/view_0047_target_02.tif,True,True,True,True
auto_capture_20260701_165437,48,3,00;01;02,auto_capture_20260701_165437/images/view_0048_target_00.tif,auto_capture_20260701_165437/images/view_0048_target_01.tif,auto_capture_20260701_165437/images/view_0048_target_02.tif,True,True,True,True
auto_capture_20260701_165437,49,3,00;01;02,auto_capture_20260701_165437/images/view_0049_target_00.tif,auto_capture_20260701_165437/images/view_0049_target_01.tif,auto_capture_20260701_165437/images/view_0049_target_02.tif,True,True,True,True
auto_capture_20260701_165437,50,3,00;01;02,auto_capture_20260701_165437/images/view_0050_target_00.tif,auto_capture_20260701_165437/images/view_0050_target_01.tif,auto_capture_20260701_165437/images/view_0050_target_02.tif,True,True,True,True
auto_capture_20260701_165437,51,3,00;01;02,auto_capture_20260701_165437/images/view_0051_target_00.tif,auto_capture_20260701_165437/images/view_0051_target_01.tif,auto_capture_20260701_165437/images/view_0051_target_02.tif,True,True,True,True
auto_capture_20260701_165437,52,3,00;01;02,auto_capture_20260701_165437/images/view_0052_target_00.tif,auto_capture_20260701_165437/images/view_0052_target_01.tif,auto_capture_20260701_165437/images/view_0052_target_02.tif,True,True,True,True
