session_id,view_count,image_count,target_00_count,target_01_count,target_02_count,complete_triplets,shapes,dtypes,min_recorded,max_recorded,max_saturation_ratio,x_positions,y_positions,x_min_mm,x_max_mm,y_min_mm,y_max_mm,scan_mode,path_order,axis_x,axis_y,small_shift_axis,small_shift_offsets_mm,exposure_ms,requested_average_frames,early_sequence_warnings,image_width_config,image_height_config,kV,microamp
auto_capture_20260701_165437,105,315,105,105,105,105,1544x2048,uint16,792.0,1763.0,0.0,7,15,-78.6,0.0,-138.04,0.0,grid_xy,raster,2,3,2,0.0;-0.1;-0.2,100.0,300,9,2048,1544,not recorded,not recorded
auto_capture_20260702_092708,49,147,49,49,49,49,1544x2048,uint16,789.0,1784.0,0.0,7,7,-78.6,0.0,-207.06,-147.9,grid_xy,raster,2,3,2,0.0;-0.1;-0.2,100.0,300,3,2048,1544,not recorded,not recorded
auto_capture_20260702_111834,44,132,44,44,44,44,1544x2048,uint16,785.0,1793.0,0.0,2,22,-13.1,0.0,-207.06,0.0,grid_xy,raster,2,3,2,0.0;-0.1;-0.2,100.0,300,1,2048,1544,not recorded,not recorded
auto_capture_20260702_133311,154,462,154,154,154,154,1544x2048,uint16,750.0,1803.0,0.0,7,21,-78.6,0.0,-197.2,0.0,grid_xy,raster,2,3,2,0.0;-0.1;-0.2,100.0,300,16,2048,1544,not recorded,not recorded
auto_capture_20260702_173319,44,132,44,44,44,44,1544x2048,uint16,782.0,1793.0,0.0,2,22,-13.1,0.0,-207.06,0.0,grid_xy,raster,2,3,2,0.0;-0.1;-0.2,100.0,300,6,2048,1544,not recorded,not recorded
