session_id,relative_path,file_name,extension,file_size_bytes,is_image,view_id,target_index,shape,dtype,base_x_mm,base_y_mm,target_x_mm,target_y_mm,offset_mm,min,max,mean,sat_ratio,status
auto_capture_20260701_165437,auto_capture_20260701_165437/images/view_0007_target_02.tif,view_0007_target_02.tif,.tif,6324480,True,7.0,2.0,1544x2048,uint16,0.0,-9.86,-0.2,-9.86,-0.2,1001.0,1738.0,1391.7410888671875,0.0,ok
auto_capture_20260701_165437,auto_capture_20260701_165437/images/view_0008_target_00.tif,view_0008_target_00.tif,.tif,6324480,True,8.0,0.0,1544x2048,uint16,-13.1,-9.86,-13.1,-9.86,0.0,1000.0,1724.0,1392.022705078125,0.0,ok
auto_capture_20260701_165437,auto_capture_20260701_165437/images/view_0008_target_01.tif,view_0008_target_01.tif,.tif,6324480,True,8.0,1.0,1544x2048,uint16,-13.1,-9.86,-13.2,-9.86,-0.1,999.0,1723.0,1391.9862060546875,0.0,ok
auto_capture_20260701_165437,auto_capture_20260701_165437/images/view_0008_target_02.tif,view_0008_target_02.tif,.tif,6324480,True,8.0,2.0,1544x2048,uint16,-13.1,-9.86,-13.3,-9.86,-0.2,1001.0,1748.0,1392.959716796875,0.0,ok
auto_capture_20260701_165437,auto_capture_20260701_165437/images/view_0009_target_00.tif,view_0009_target_00.tif,.tif,6324480,True,9.0,0.0,1544x2048,uint16,-26.2,-9.86,-26.2,-9.86,0.0,1001.0,1736.0,1390.8734130859375,0.0,ok
auto_capture_20260701_165437,auto_capture_20260701_165437/images/view_0009_target_01.tif,view_0009_target_01.tif,.tif,6324480,True,9.0,1.0,1544x2048,uint16,-26.2,-9.86,-26.3,-9.86,-0.1,1002.0,1725.0,1390.869140625,0.0,ok
auto_capture_20260701_165437,auto_capture_20260701_165437/images/view_0009_target_02.tif,view_0009_target_02.tif,.tif,6324480,True,9.0,2.0,1544x2048,uint16,-26.2,-9.86,-26.4,-9.86,-0.2,1000.0,1721.0,1390.7833251953125,0.0,ok
auto_capture_20260701_165437,auto_capture_20260701_165437/images/view_0010_target_00.tif,view_0010_target_00.tif,.tif,6324480,True,10.0,0.0,1544x2048,uint16,-39.3,-9.86,-39.3,-9.86,0.0,857.0,1723.0,1317.4471435546875,0.0,ok
auto_capture_20260701_165437,auto_capture_20260701_165437/images/view_0010_target_01.tif,view_0010_target_01.tif,.tif,6324480,True,10.0,1.0,1544x2048,uint16,-39.3,-9.86,-39.4,-9.86,-0.1,857.0,1726.0,1316.9654541015625,0.0,ok
auto_capture_20260701_165437,auto_capture_20260701_165437/images/view_0010_target_02.tif,view_0010_target_02.tif,.tif,6324480,True,10.0,2.0,1544x2048,uint16,-39.3,-9.86,-39.5,-9.86,-0.2,856.0,1733.0,1314.5291748046875,0.0,ok
auto_capture_20260701_165437,auto_capture_20260701_165437/images/view_0011_target_00.tif,view_0011_target_00.tif,.tif,6324480,True,11.0,0.0,1544x2048,uint16,-52.4,-9.86,-52.4,-9.86,0.0,844.0,1519.0,1130.8343505859375,0.0,ok
auto_capture_20260701_165437,auto_capture_20260701_165437/images/view_0011_target_01.tif,view_0011_target_01.tif,.tif,6324480,True,11.0,1.0,1544x2048,uint16,-52.4,-9.86,-52.5,-9.86,-0.1,845.0,1507.0,1130.0592041015625,0.0,ok
auto_capture_20260701_165437,auto_capture_20260701_165437/images/view_0011_target_02.tif,view_0011_target_02.tif,.tif,6324480,True,11.0,2.0,1544x2048,uint16,-52.4,-9.86,-52.6,-9.86,-0.2,845.0,1505.0,1130.198974609375,0.0,ok
auto_capture_20260701_165437,auto_capture_20260701_165437/images/view_0012_target_00.tif,view_0012_target_00.tif,.tif,6324480,True,12.0,0.0,1544x2048,uint16,-65.5,-9.86,-65.5,-9.86,0.0,802.0,1510.0,1101.5184326171875,0.0,ok
